"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A2"
"VT","【Q3】 TOMA"
"HT","Header B"
"BT","b1.Base-Total Respondents"
"CH",,"National","Age",,,,"City tier",,,,"Income",,,,,,"25-34&China1+/1"
"CL",,"total","18-24 (a)","25-34 (b)","35-44 (c)","45-55 (d)","Top 4 City (a)","Top 4+A (b)","A City (c)","B City (d)","China1+/1 (a)","China1+ (b)","China1 (c)","China2&3 (d)","China2 (e)","China3 (f)","(a)"
"PV",,0.0666666666666667,0.0,0.0,0.0,0.37593984962406,0.490196078431373,0.14903129657228,0.0,0.0,0.208333333333333,0.0,0.319488817891374,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","AHC",3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
"PV",,0.2,0.72463768115942,0.196463654223969,0.0,0.0,0.0,0.14903129657228,0.214132762312634,0.241254523522316,0.0,0.0,0.0,0.294117647058824,0.174216027874564,0.448430493273543,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","DHC",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"PV",,0.0666666666666667,0.0,0.0,0.22271714922049,0.0,0.0,0.14903129657228,0.214132762312634,0.0,0.0,0.0,0.0,0.0980392156862745,0.0,0.224215246636771,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Amway",4.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0
"PV",,0.266666666666667,0.0,0.589390962671906,0.0,0.37593984962406,0.0,0.14903129657228,0.214132762312634,0.361881785283474,0.208333333333333,0.0,0.319488817891374,0.294117647058824,0.174216027874564,0.448430493273543,0.333333333333333
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Chunji",3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0
"PV",,0.2,0.0,0.392927308447937,0.22271714922049,0.0,0.0,0.0,0.0,0.361881785283474,0.208333333333333,0.598802395209581,0.0,0.196078431372549,0.0,0.448430493273543,0.333333333333333
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Tjoy",2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
"PV",,0.133333333333333,0.0,0.0,0.44543429844098,0.0,0.0,0.0,0.0,0.241254523522316,0.0,0.0,0.0,0.196078431372549,0.0,0.448430493273543,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Franic",5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,2.0,3.0,0.0,3.0,4.0
"PV",,0.333333333333333,0.36231884057971,0.392927308447937,0.22271714922049,0.37593984962406,0.0,0.14903129657228,0.214132762312634,0.482509047044632,0.416666666666667,0.0,0.638977635782748,0.294117647058824,0.0,0.672645739910314,1.33333333333333
"MK",," "," "," "," "," "," "," "," ",a," "," "," "," "," "," "," "
"RW","Fawa",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"PV",,0.0666666666666667,0.0,0.0,0.22271714922049,0.0,0.0,0.14903129657228,0.214132762312634,0.0,0.208333333333333,0.0,0.319488817891374,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
