"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","KPI"
"BT","b1.Base-Total Respondents"
"CH",,"Rolling wave",,,,,"National",,,,,
"CL",,"Aug+Sep (a)","Sep+Nov (b)","Nov+Dec (c)","Dec+Jan (d)","Jan+March (e)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"VT","【Q5b】 P3M"
"HT","KPI"
"BT","b45.P3M base"
"CH",,"Rolling wave",,,,,"National",,,,,
"CL",,"Aug+Sep (a)","Sep+Nov (b)","Nov+Dec (c)","Dec+Jan (d)","Jan+March (e)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",0.0,1500.0,3000.0,3000.0,3000.0,0.0,0.0,1500.0,1500.0,1500.0,1500.0
"PV",,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0
"RW","Olay",0.0,279.0,571.0,603.0,618.0,0.0,0.0,279.0,292.0,311.0,307.0
"PV",,0.0,18.6,19.0333333333333,20.1,20.6,0.0,0.0,18.6,19.4666666666667,20.7333333333333,20.4666666666667
"MK",," "," "," "," "," "," "," "," "," "," "," "
"RW","Loreal",0.0,304.0,589.0,581.0,607.0,0.0,0.0,304.0,285.0,296.0,311.0
"PV",,0.0,20.2666666666667,19.6333333333333,19.3666666666667,20.2333333333333,0.0,0.0,20.2666666666667,19.0,19.7333333333333,20.7333333333333
"MK",," "," "," "," "," "," "," "," "," "," "," "
"RW","Estee Lauder",0.0,172.0,310.0,297.0,302.0,0.0,0.0,172.0,138.0,159.0,143.0
"PV",,0.0,11.4666666666667,10.3333333333333,9.9,10.0666666666667,0.0,0.0,11.4666666666667,9.2,10.6,9.53333333333333
"MK",," "," "," "," "," "," "," ",df," "," "," "
"RW","Pechoin",0.0,444.0,834.0,838.0,908.0,0.0,0.0,444.0,390.0,448.0,460.0
"PV",,0.0,29.6,27.8,27.9333333333333,30.2666666666667,0.0,0.0,29.6,26.0,29.8666666666667,30.6666666666667
"MK",," "," "," "," ",cd," "," ",d," ",d,d
"RW","Aupres",0.0,131.0,276.0,282.0,250.0,0.0,0.0,131.0,145.0,137.0,113.0
"PV",,0.0,8.73333333333333,9.2,9.4,8.33333333333333,0.0,0.0,8.73333333333333,9.66666666666667,9.13333333333333,7.53333333333333
"MK",," "," "," "," "," "," "," "," ",f," "," "
"RW","Herborist",0.0,166.0,279.0,226.0,205.0,0.0,0.0,166.0,113.0,113.0,92.0
"PV",,0.0,11.0666666666667,9.3,7.53333333333333,6.83333333333333,0.0,0.0,11.0666666666667,7.53333333333333,7.53333333333333,6.13333333333333
"MK",," ",cde,de," "," "," "," ",def," "," "," "
"RW","Chcedo",0.0,338.0,659.0,652.0,678.0,0.0,0.0,338.0,321.0,331.0,347.0
"PV",,0.0,22.5333333333333,21.9666666666667,21.7333333333333,22.6,0.0,0.0,22.5333333333333,21.4,22.0666666666667,23.1333333333333
"MK",," "," "," "," "," "," "," "," "," "," "," "
"RW","Clinique",0.0,76.0,135.0,109.0,86.0,0.0,0.0,76.0,59.0,50.0,36.0
"PV",,0.0,5.06666666666667,4.5,3.63333333333333,2.86666666666667,0.0,0.0,5.06666666666667,3.93333333333333,3.33333333333333,2.4
"MK",," ",de,de,e," "," "," ",ef,f," "," "
"RW","Dabao",0.0,379.0,800.0,954.0,1013.0,0.0,0.0,379.0,421.0,533.0,480.0
"PV",,0.0,25.2666666666667,26.6666666666667,31.8,33.7666666666667,0.0,0.0,25.2666666666667,28.0666666666667,35.5333333333333,32.0
"MK",," "," "," ",bc,bc," "," "," ",c,cdf,cd
